time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
35.67,2058.779192916038,199.93333475555556,100.0,0,11313.9248256,4,0,-3928.0,10292.0,7417.0
35.87,2070.2643207011897,204.3777792,100.0,0,10768.9248256,4,0,-3956.0,10401.0,7414.0
35.943,2074.4938888888873,206.0,100.0,0,10570.0,5,0,-3963.825624670377,10444.183623287567,7412.749904702496
36.223,2090.9049999999984,211.0,100.0,0,10877.0,5,0,-3983.566870576602,10618.284651324617,7407.4425205771095
36.25,2092.5188924325867,212.0125024,100.0,0,10895.2250432,5,0,-3985.0,10634.0,7407.0
36.383,2100.549444444443,217.0,100.0,0,10985.0,5,0,-3991.1314575302995,10707.386924739154,7405.07789112055
36.51,2108.292328968887,218.58255563016687,100.0,0,11071.644920751636,5,0,-3996.0,10778.0,7403.0
36.689,2119.324078629547,220.81308646740663,100.0,0,11193.766484090514,5,0,-4002.0,10886.0,7399.0
36.704,2120.2552777777764,221.0,100.0,0,11204.0,5,0,-4002.4692595584893,10894.780490167328,7398.687196910571
37.029,2140.647781272866,225.51389155555555,100.0,0,11306.916727466667,5,0,-4010.0,11097.0,7392.0
37.064,2142.8552777777763,226.0,100.0,0,11318.0,5,0,-4010.1533324946677,11127.657889369602,7390.854403793415
37.249,2154.5424005214363,227.32142994285715,100.0,0,11487.143032685713,5,0,-4009.0,11299.0,7384.0
37.344,2160.58861111111,228.0,100.0,0,11574.0,5,0,-4007.9141305580397,11355.517893546683,7381.417224801482
37.569,2175.075479054976,230.8125024,83.1249856,0,11681.5782168,5,0,-4003.0,11440.0,7377.0
37.664,2181.210833333332,232.0,76.0,0,11727.0,5,0,-3998.9644392649234,11492.644911035986,7374.768642692856
37.889,2195.699042798699,231.2968744,42.249971200000005,0,11549.1092232,5,0,-3985.0,11645.0,7369.0
37.984,2201.7441666666655,231.0,28.0,0,11474.0,5,0,-3977.549818437612,11706.079251349396,7366.805958027326
38.069,2207.10020724951,228.8749952,28.0,0,11474.0,5,0,-3964.0,11768.0,7365.0
38.184,2214.2997222222207,226.0,28.0,0,11474.0,5,0,-3927.0293540124794,11875.794163205828,7362.810583661377
38.309,2222.1184500909485,225.55197074076656,36.06452666620177,0,11414.412108521954,5,0,-3883.0,11985.0,7361.0
38.463,2231.7372222222207,225.0,46.0,0,11341.0,5,0,-3854.9636722573323,12047.258755603154,7359.95338545616
38.669,2244.5626741883702,224.14166613333333,46.85833386666667,0,11172.766562133333,5,0,-3804.0,12096.0,7359.0
38.703,2246.670555555554,224.0,47.0,0,11145.0,5,0,-3785.975011697401,12112.748548370657,7358.670681904939
38.863,2256.5372222222204,222.0,48.0,0,11140.0,5,0,-3673.8759227838614,12216.164825889828,7356.638860589471
38.929,2260.56624179071,221.1749984,51.575006933333334,0,11135.324990933334,5,0,-3637.0,12249.0,7356.0
39.103,2271.1372222222203,219.0,61.0,0,11123.0,5,0,-3586.480538483364,12287.989043597383,7355.265761884203
39.169,2275.176743543589,219.4125008,61.0,0,11123.0,5,0,-3567.0,12301.0,7355.0
39.263,2280.9149999999977,220.0,61.0,1,11123.0,5,0,-3528.867472017741,12326.942022683348,7354.439154902929
39.529,2296.6630462417797,214.67999744,33.73498688,1,10893.5748896,5,0,-3387.0,12429.0,7352.0
39.629,2302.4913034784427,212.67999744,23.48498688,1,10807.3248896,5,0,-3342.0,12466.0,7351.0
39.663,2304.4705555555533,212.0,20.0,0,10778.0,5,0,-3328.1141156641656,12478.143542210773,7350.704969150744
39.909,2318.757853120394,209.6937488,31.531256,0,10545.0686288,5,0,-3239.0,12587.0,7349.0
39.983,2323.0483333333314,209.0,35.0,0,10475.0,5,0,-3209.0749042261896,12646.2328395198,7348.325524271791
40.129,2331.4899924029537,208.0874992,32.2624976,0,10454.0124816,5,0,-3154.0,12774.0,7347.0
40.143,2332.292777777776,208.0,32.0,0,10452.0,5,0,-3150.10662920213,12783.696457480282,7346.907837843052
40.463,2350.33722222222,203.0,42.0,0,10297.0,5,0,-3125.329205465741,12893.740918996664,7346.326778166821
40.589,2357.4404713252143,203.0,42.0,0,10306.4500096,5,0,-3128.0,12955.0,7346.0
40.623,2359.359444444442,203.0,42.0,0,10309.0,5,0,-3128.7430201397337,12977.504481826189,7345.8525309975885
40.789,2368.7366545324785,203.5928576,59.192870400000004,0,10394.3714944,5,0,-3134.0,13101.0,7345.0
40.903,2375.226111111109,204.0,71.0,0,10453.0,5,0,-3142.0602140447054,13154.7899110723,7344.730016181701
41.049,2383.633423977654,206.43333546666668,74.04166933333333,0,10628.2001536,5,0,-3161.0,13210.0,7345.0
41.143,2389.0927777777756,208.0,76.0,0,10741.0,5,0,-3180.357125307357,13260.319012473945,7345.65596576397
41.303,2398.4705555555533,211.0,77.0,0,10786.0,5,0,-3224.1148164906117,13368.586302230811,7347.532426584737
41.429,2405.9863987293047,214.1500032,77.0,0,10786.0,5,0,-3255.0,13446.0,7349.0
41.463,2408.026111111109,215.0,77.0,0,10786.0,5,0,-3262.2212074357826,13464.489073881097,7349.364679084292
41.709,2422.8969025170777,217.63571565714287,78.75714377142857,0,11148.8501888,5,0,-3306.0,13581.0,7352.0
41.743,2424.9816666666648,218.0,79.0,0,11199.0,5,0,-3312.3883325064226,13598.238863331426,7352.469332753717
41.949,2437.801537851388,223.1500032,84.1500032,0,11310.828640914286,5,0,-3357.0,13719.0,7356.0
42.023,2442.4816666666648,225.0,86.0,0,11351.0,5,0,-3377.036753820491,13773.404416761716,7357.5389612891695
42.263,2457.8816666666644,231.0,70.0,0,10091.0,5,0,-3447.266778182437,13964.295637349263,7362.8633093053995
42.27,2458.333020593583,231.03888924444445,69.94166613333333,0,10095.822266311112,5,0,-3449.0,13969.0,7363.0
42.57,2477.7359690044073,232.7055559111111,67.44166613333333,0,10302.488932977778,5,0,-3509.0,14131.0,7367.0
42.623,2481.1816666666646,233.0,67.0,0,10339.0,6,0,-3520.1893238547536,14160.918779931586,7367.079584953158
42.71,2486.8514046714586,233.36250026666667,64.281248,0,10344.9812544,6,0,-3538.0,14216.0,7367.0
43.07,2510.3740466654767,234.86250026666667,53.031248000000005,0,10369.7312544,6,0,-3571.0,14520.0,7368.0
43.103,2512.514999999998,235.0,52.0,0,10372.0,6,0,-3571.190743681678,14541.288261406919,7367.984148257119
43.384,2530.623888888887,232.0,48.0,0,10341.0,6,0,-3554.7276116388407,14659.4990894929,7366.179139407845
43.489,2537.362039757134,231.5624992,54.1250112,0,10325.687472,6,0,-3540.0,14711.0,7364.0
43.624,2546.023888888887,231.0,62.0,0,10306.0,6,0,-3514.108833880675,14793.904330020567,7360.124600575017
43.629,2546.3450664746524,231.01785782857144,62.08928914285714,0,10307.910787657143,6,0,-3513.0,14797.0,7360.0
43.889,2563.096754704711,231.94642925714285,66.73214628571428,0,10407.267930514286,6,0,-3441.0,14948.0,7355.0
43.904,2564.068333333332,232.0,67.0,0,10413.0,6,0,-3436.0368484588294,14956.316863575395,7354.5284916126775
